category,wine,slug,sku,pack,on_hand,ready
PURE,"Domaine Jean Noel Gagnard Chassagne Montrachet 1er Cru les Chaumees 2018",domaine-jean-noel-gagnard-chassagne-montrachet-1er-cru-les-chaumees-2018,712995,12/750,3.75,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2022",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2022,711189,1/3000,2.00,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2022",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2022,711188,3/1500,0.33,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2022",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2022,711186,6/750,0.83,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2023",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2023,712184,1/3000,3.00,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2023",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2023,711199,12/375,1.42,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2023",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2023,711200,3/1500,7.00,true
BOTTLE,"Domaine Jf Mugnier Nuits Saint Georges 1er Cru Clos de la Marechale 2023",domaine-jf-mugnier-nuits-saint-georges-1er-cru-clos-de-la-marechale-2023,711198,6/750,37.00,true
BOTTLE,"Domaine Jl Chave Saint Joseph 2022",domaine-jl-chave-saint-joseph-2022,540251,6/1500,1.50,true
BOTTLE,"Domaine Jl Chave Saint Joseph 2022",domaine-jl-chave-saint-joseph-2022,540250,6/750,28.00,true
BOTTLE,"Domaine Jl Chave Saint Joseph 2023",domaine-jl-chave-saint-joseph-2023,540264,6/1500,1.00,true
BOTTLE,"Domaine Jl Chave Saint Joseph 2023",domaine-jl-chave-saint-joseph-2023,540263,6/750,44.00,true
BOTTLE,"Domaine Lafarge Vial Fleurie Joie du Palais 2020",domaine-lafarge-vial-fleurie-joie-du-palais-2020,700113,6/1500,1.00,true
BOTTLE,"Domaine Lafarge Vial Fleurie Joie du Palais 2020",domaine-lafarge-vial-fleurie-joie-du-palais-2020,700111,12/750,4.00,true
PURE,"Domaine Lafarge Vial Fleurie Joie du Palais 2023",domaine-lafarge-vial-fleurie-joie-du-palais-2023,700128,12/750,6.00,true
PURE,"Domaine Lafarge Vial Fleurie Joie du Palais 2023",domaine-lafarge-vial-fleurie-joie-du-palais-2023,700124,12/750,3.83,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru aux Chezeaux 2020",domaine-lignier-michelot-morey-saint-denis-1er-cru-aux-chezeaux-2020,711574,3/1500,0.67,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru aux Chezeaux 2020",domaine-lignier-michelot-morey-saint-denis-1er-cru-aux-chezeaux-2020,711566,12/750,1.00,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru aux Chezeaux 2022",domaine-lignier-michelot-morey-saint-denis-1er-cru-aux-chezeaux-2022,716002,3/1500,2.00,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru aux Chezeaux 2022",domaine-lignier-michelot-morey-saint-denis-1er-cru-aux-chezeaux-2022,711596,12/750,4.00,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru Faconnieres 2023",domaine-lignier-michelot-morey-saint-denis-1er-cru-faconnieres-2023,716012,12/750,10.00,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru Faconnieres 2023",domaine-lignier-michelot-morey-saint-denis-1er-cru-faconnieres-2023,716013,3/1500,3.00,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru les Chenevery 2022",domaine-lignier-michelot-morey-saint-denis-1er-cru-les-chenevery-2022,716003,3/1500,2.00,true
BOTTLE,"Domaine Lignier-Michelot Morey Saint Denis 1er Cru les Chenevery 2022",domaine-lignier-michelot-morey-saint-denis-1er-cru-les-chenevery-2022,711599,12/750,3.83,true
BOTTLE,"Domaine Paul Jaboulet Aine Hermitage la Chapelle 2020",domaine-paul-jaboulet-aine-hermitage-la-chapelle-2020,541091*,1/3000,2.00,true
BOTTLE,"Domaine Paul Jaboulet Aine Hermitage la Chapelle 2020",domaine-paul-jaboulet-aine-hermitage-la-chapelle-2020,541090*,3/1500,2.67,true
BOTTLE,"Domaine Paul Jaboulet Aine Hermitage la Chapelle 2020",domaine-paul-jaboulet-aine-hermitage-la-chapelle-2020,541089*,6/750,22.33,true
BOTTLE,"Domaine Paul Prieur Sancerre Monts Damnes 2022",domaine-paul-prieur-sancerre-monts-damnes-2022,534022,6/1500,3.00,true
BOTTLE,"Domaine Paul Prieur Sancerre Monts Damnes 2022",domaine-paul-prieur-sancerre-monts-damnes-2022,534021,12/750,26.08,true
BOTTLE,"Domaine Paul Prieur Sancerre Rouge les Pichons 2022",domaine-paul-prieur-sancerre-rouge-les-pichons-2022,534027,12/750,3.00,true
BOTTLE,"Domaine Paul Prieur Sancerre Rouge les Pichons 2022",domaine-paul-prieur-sancerre-rouge-les-pichons-2022,534028,6/1500,1.00,true
BOTTLE,"Domaine Rapet Pernand Vergelesses Blanc 1er Cru sous Fretille 2022",domaine-rapet-pernand-vergelesses-blanc-1er-cru-sous-fretille-2022,410347,3/1500,0.67,true
BOTTLE,"Domaine Rapet Pernand Vergelesses Blanc 1er Cru sous Fretille 2022",domaine-rapet-pernand-vergelesses-blanc-1er-cru-sous-fretille-2022,410346,12/750,1.75,true
BOTTLE,"Domaine Serol Cote Roannaise Rouge chez Coste 2020",domaine-serol-cote-roannaise-rouge-chez-coste-2020,740019,3/1500,1.00,true
